RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
1,Michigan,B10,29,27-2,"129.3
71,"Florida St.
   (A) 172 Georgia Tech",ACC,28,14-14,"116.1
73","104.4
83",".7725
71","50.9
195","52.4
231","15.4
83","19.3
44","31.0
164","32.6
283","34.7
195","32.9
123","54.1
84","52.8
227","31.9
285","34.5
204","50.8
12","44.0
317","71.1
25","-3.0
83"
72,"Wake Forest
   (H) 69 Syracuse",ACC,28,14-14,"117.3
60","105.5
101",".7713
72","52.3
141","52.3
223","15.4
83","18.8
68","30.0
200","32.9
296","34.6
200","36.3
211","53.7
95","55.1
307","33.8
187","32.8
109","44.7
67","46.9
352","68.5
127","-3.3
87"
73,"West Virginia
   (H) 30 BYU",B12,28,16-12,"109.5
163","98.6
26",".7705
73","51.6
170","48.3
52","17.3
214","17.9
107","30.4
186","28.1
70","35.2
179","28.7
40","52.7
141","45.1
11","33.4
215","35.5
264","42.9
114","38.6
149","62.6
363","-1.8
68"
74,"Stanford
   (H) 35 SMU",ACC,28,17-11,"114.4
90","103.5
69",".7591
74","50.4
219","51.2
171","15.9
122","18.7
72","32.4
117","28.8
96","36.7
146","40.4
297","49.7
263","51.5
170","34.2
162","33.7
158","44.2
82","33.5
21","67.5
183","-1.6
67"
75,George Washington,A10,29,16-13,"119.1
50","108.0
154",".7558
75","55.6
34","52.4
231","18.1
264","17.9
107","36.3
24","28.4
80","35.9
164","34.8
173","57.4
32","53.7
266","35.6
84","33.7
158","46.5
37","43.2
295","69.5
74","-6.5
149"
76,Dayton,A10,29,20-9,"111.5
130","101.3
43",".7510
76","52.3
141","51.1
160","17.3
214","22.2
5","27.0
298","30.6
179","48.0
1","35.9
205","52.8
133","49.1
71","34.3
156","35.9
291","41.2
149","41.1
241","67.6
173","-1.2
65"
77,"McNeese St.
   (A) 181 New Orleans",Slnd,29,24-5,"114.4
91","104.3
81",".7439
77","51.4
176","49.7
92","14.4
31","24.6
1","35.6
33","35.0
335","38.3
98","41.6
318","53.2
119","49.1
71","32.0
278","33.5
147","34.9
274","46.7
350","66.4
236","+0.02
54"
78,Miami OH,MAC,29,29-0,"116.9
64","106.6
118",".7436
78","59.1
5","50.3
116","14.5
35","18.0
101","25.0
341","27.5
51","40.2
58","32.1
103","61.5
3","50.8
134","37.4
29","32.9
115","44.0
87","37.4
115","70.1
46","+3.0
27"
79,"Stephen F. Austin
   (A) 313 Houston Christian",Slnd,29,25-4,"113.3
101","103.4
68",".7401
79","51.7
164","47.2
25","14.1
27","17.6
125","34.8
53","28.9
101","31.0
284","31.2
82","50.1
245","48.2
48","36.0
62","30.2
19","39.8
175","35.0
48","66.0
259","-0.5
56"
80,"Colorado
   (A) 5 Houston",B12,28,16-12,"116.1
72","106.3
113",".7336
80","53.0
108","52.1
217","14.5
35","16.0
233","29.7
217","29.5
130","36.1
159","34.5
160","53.1
122","50.7
130","35.3
99","36.4
315","35.1
270","37.1
104","68.6
114","-2.2
74"
81,"Utah Valley
   (H) 248 Abilene Christian",WAC,28,21-7,"112.2
116","102.8
60",".7330
81","54.7
51","48.3
52","20.6
352","21.6
8","35.8
28","31.8
240","36.3
153","37.6
248","57.5
31","46.7
22","32.7
245","34.5
204","32.8
317","32.1
10","69.1
100","-2.5
78"
82,"Oklahoma St.
   (A) 37 Cincinnati",B12,28,17-11,"116.0
74","106.3
114",".7316
82","52.3
141","52.3
223","16.4
150","16.8
173","30.9
170","30.3
166","39.0
81","32.3
111","52.9
130","52.1
196","34.1
168","35.1
242","36.1
247","43.2
295","72.2
12","-0.9
61"
83,"Creighton
   (H) 61 Providence",BE,29,14-15,"116.6
66","107.0
125",".7292
83","53.8
73","51.3
177","16.8
177","14.0
336","27.7
277","30.6
179","27.9
344","24.7
5","55.1
60","50.2
110","35.0
115","35.8
285","48.3
22","32.2
12","67.3
189","-3.3
86"
